user_id,product_id,rating,timestamp
U1001,P101,5.0,1698105600
U1001,P102,4.5,1698192000
U1001,P103,5.0,1698278400
U1001,P104,4.0,1698364800
U1001,P111,4.5,1698451200
U1002,P107,5.0,1698105600
U1002,P108,4.0,1698192000
U1002,P109,4.5,1698278400
U1002,P111,5.0,1698364800
U1002,P112,4.5,1698451200
U1002,P114,4.0,1698537600
U1003,P115,5.0,1698105600
U1003,P116,4.0,1698192000
U1003,P117,5.0,1698278400
U1003,P118,3.5,1698364800
U1003,P123,4.5,1698451200
U1003,P124,4.0,1698537600
U1004,P119,5.0,1698105600
U1004,P120,5.0,1698192000
U1004,P121,4.5,1698278400
U1004,P122,4.5,1698364800
U1004,P105,4.0,1698451200
U1005,P101,4.5,1698105600
U1005,P103,5.0,1698192000
U1005,P105,4.5,1698278400
U1005,P106,4.0,1698364800
U1005,P115,4.5,1698451200
U1006,P107,4.5,1698105600
U1006,P110,5.0,1698192000
U1006,P111,4.0,1698278400
U1006,P112,4.5,1698364800
U1006,P113,4.5,1698451200
U1007,P123,5.0,1698105600
U1007,P124,4.5,1698192000
U1007,P125,5.0,1698278400
U1007,P117,4.5,1698364800
U1007,P118,4.0,1698451200
U1008,P101,4.0,1698105600
U1008,P102,4.5,1698192000
U1008,P107,5.0,1698278400
U1008,P109,4.5,1698364800
U1008,P111,4.5,1698451200
U1008,P113,5.0,1698537600
U1009,P119,4.5,1698105600
U1009,P121,5.0,1698192000
U1009,P122,4.5,1698278400
U1009,P125,4.0,1698364800
U1010,P103,4.5,1698105600
U1010,P107,5.0,1698192000
U1010,P115,5.0,1698278400
U1010,P116,4.0,1698364800
U1010,P113,4.5,1698451200
U1011,P104,5.0,1698105600
U1011,P105,4.0,1698192000
U1011,P106,4.5,1698278400
U1011,P101,4.5,1698364800
U1012,P108,4.0,1698105600
U1012,P110,4.5,1698192000
U1012,P112,4.0,1698278400
U1012,P114,4.5,1698364800
U1013,P120,5.0,1698105600
U1013,P121,4.5,1698192000
U1013,P122,4.0,1698278400
U1014,P117,5.0,1698105600
U1014,P123,4.5,1698192000
U1014,P125,4.5,1698278400
U1015,P101,5.0,1698105600
U1015,P107,4.5,1698192000
U1015,P111,4.0,1698278400
U1015,P115,4.5,1698364800
